commit,energy-pkg,energy-ram,seconds,temp_before,temp_after
968401ae6db3c8d3b96a782e4083fb08eec97846,2243.02,90.71,9.065071927,54000,53000
968401ae6db3c8d3b96a782e4083fb08eec97846,2292.90,92.84,9.249109788,54000,54000
968401ae6db3c8d3b96a782e4083fb08eec97846,2313.46,93.40,9.355733682,54000,54000
968401ae6db3c8d3b96a782e4083fb08eec97846,2301.22,92.59,9.312765384,52000,54000
968401ae6db3c8d3b96a782e4083fb08eec97846,2271.02,91.87,9.169352233,54000,53000
968401ae6db3c8d3b96a782e4083fb08eec97846,2241.93,90.46,9.063830475,54000,54000
968401ae6db3c8d3b96a782e4083fb08eec97846,2260.51,91.18,9.146029648,52000,53000
968401ae6db3c8d3b96a782e4083fb08eec97846,2301.49,93.25,9.296514156,54000,54000
968401ae6db3c8d3b96a782e4083fb08eec97846,2276.79,91.89,9.203056296,54000,54000
968401ae6db3c8d3b96a782e4083fb08eec97846,2257.79,91.04,9.128903916,54000,54000
968401ae6db3c8d3b96a782e4083fb08eec97846,2254.41,91.15,9.120021517,54000,54000
968401ae6db3c8d3b96a782e4083fb08eec97846,2224.36,90.21,8.978407242,53000,54000
968401ae6db3c8d3b96a782e4083fb08eec97846,2250.19,91.09,9.089459143,54000,54000
968401ae6db3c8d3b96a782e4083fb08eec97846,2268.79,91.46,9.171299317,54000,54000
968401ae6db3c8d3b96a782e4083fb08eec97846,2314.96,93.21,9.360275202,54000,54000
968401ae6db3c8d3b96a782e4083fb08eec97846,2346.67,94.63,9.485231213,54000,54000
968401ae6db3c8d3b96a782e4083fb08eec97846,2266.26,91.53,9.161548182,54000,54000
968401ae6db3c8d3b96a782e4083fb08eec97846,2261.87,91.60,9.137294953,54000,54000
968401ae6db3c8d3b96a782e4083fb08eec97846,2228.42,90.17,9.015308509,54000,54000
968401ae6db3c8d3b96a782e4083fb08eec97846,2319.27,93.24,9.376309474,54000,54000
968401ae6db3c8d3b96a782e4083fb08eec97846,2288.28,92.59,9.226522798,54000,54000
968401ae6db3c8d3b96a782e4083fb08eec97846,2300.14,93.19,9.296886330,54000,54000
