commit,energy-pkg,energy-ram,seconds,temp_before,temp_after
968401ae6db3c8d3b96a782e4083fb08eec97846,2708.75,109.92,10.897337617,56000,56000
968401ae6db3c8d3b96a782e4083fb08eec97846,2820.20,115.15,11.273652983,55000,55000
968401ae6db3c8d3b96a782e4083fb08eec97846,2790.02,113.45,11.176651787,56000,56000
968401ae6db3c8d3b96a782e4083fb08eec97846,2736.39,111.05,10.952897620,55000,56000
968401ae6db3c8d3b96a782e4083fb08eec97846,2805.21,113.44,11.230477401,56000,55000
968401ae6db3c8d3b96a782e4083fb08eec97846,2805.35,113.65,11.219144392,56000,55000
968401ae6db3c8d3b96a782e4083fb08eec97846,2805.74,114.39,11.240476138,56000,56000
968401ae6db3c8d3b96a782e4083fb08eec97846,2721.55,110.58,10.875980277,56000,56000
968401ae6db3c8d3b96a782e4083fb08eec97846,2775.54,112.77,11.110952302,55000,56000
968401ae6db3c8d3b96a782e4083fb08eec97846,2791.04,113.10,11.206113212,56000,56000
968401ae6db3c8d3b96a782e4083fb08eec97846,2744.89,111.01,10.986245629,56000,56000
968401ae6db3c8d3b96a782e4083fb08eec97846,2831.17,115.47,11.347428540,56000,56000
968401ae6db3c8d3b96a782e4083fb08eec97846,2785.88,113.63,11.128554507,56000,56000
968401ae6db3c8d3b96a782e4083fb08eec97846,2846.04,115.98,11.401012233,56000,56000
968401ae6db3c8d3b96a782e4083fb08eec97846,2833.23,115.00,11.357874250,56000,56000
968401ae6db3c8d3b96a782e4083fb08eec97846,2873.88,117.38,11.493035495,55000,56000
968401ae6db3c8d3b96a782e4083fb08eec97846,2788.62,113.10,11.176337908,55000,55000
968401ae6db3c8d3b96a782e4083fb08eec97846,2723.72,110.24,10.882734326,56000,56000
968401ae6db3c8d3b96a782e4083fb08eec97846,2748.59,112.23,11.001655331,56000,55000
968401ae6db3c8d3b96a782e4083fb08eec97846,2786.90,112.40,11.189999190,55000,55000
968401ae6db3c8d3b96a782e4083fb08eec97846,2882.43,117.47,11.533925582,56000,56000
968401ae6db3c8d3b96a782e4083fb08eec97846,2751.20,111.28,11.027335391,55000,55000
968401ae6db3c8d3b96a782e4083fb08eec97846,2815.53,114.56,11.272089172,56000,55000
968401ae6db3c8d3b96a782e4083fb08eec97846,2824.01,115.52,11.289432536,56000,56000
968401ae6db3c8d3b96a782e4083fb08eec97846,2856.61,116.55,11.404752966,56000,56000
968401ae6db3c8d3b96a782e4083fb08eec97846,2863.42,116.59,11.438368670,56000,56000
968401ae6db3c8d3b96a782e4083fb08eec97846,2839.64,115.75,11.378202570,55000,55000
968401ae6db3c8d3b96a782e4083fb08eec97846,2812.38,114.39,11.244704842,56000,56000
968401ae6db3c8d3b96a782e4083fb08eec97846,2844.56,116.03,11.384536344,56000,55000
968401ae6db3c8d3b96a782e4083fb08eec97846,2864.57,116.96,11.476113836,56000,56000
e0ca965dae5ac74299be7c3d7b26f003f7163575,2817.43,114.70,11.296140900,56000,56000
e0ca965dae5ac74299be7c3d7b26f003f7163575,2832.56,115.37,11.334572455,56000,56000
e0ca965dae5ac74299be7c3d7b26f003f7163575,2764.38,112.72,11.051107657,55000,56000
e0ca965dae5ac74299be7c3d7b26f003f7163575,2791.89,113.05,11.173806800,55000,55000
e0ca965dae5ac74299be7c3d7b26f003f7163575,2854.71,116.36,11.412835282,56000,55000
e0ca965dae5ac74299be7c3d7b26f003f7163575,2847.19,115.72,11.411555401,55000,56000
e0ca965dae5ac74299be7c3d7b26f003f7163575,2877.95,117.11,11.506384320,55000,56000
e0ca965dae5ac74299be7c3d7b26f003f7163575,2825.31,114.62,11.311536674,55000,56000
e0ca965dae5ac74299be7c3d7b26f003f7163575,2818.81,115.06,11.264936865,55000,56000
e0ca965dae5ac74299be7c3d7b26f003f7163575,2810.58,114.31,11.249011840,55000,55000
e0ca965dae5ac74299be7c3d7b26f003f7163575,2824.43,114.51,11.313467216,56000,55000
e0ca965dae5ac74299be7c3d7b26f003f7163575,2777.81,112.85,11.108529603,55000,55000
e0ca965dae5ac74299be7c3d7b26f003f7163575,2810.49,114.41,11.227919665,56000,55000
e0ca965dae5ac74299be7c3d7b26f003f7163575,2843.86,115.52,11.398593375,56000,55000
e0ca965dae5ac74299be7c3d7b26f003f7163575,2860.85,116.47,11.454550478,56000,55000
e0ca965dae5ac74299be7c3d7b26f003f7163575,2803.82,113.89,11.212658441,55000,55000
e0ca965dae5ac74299be7c3d7b26f003f7163575,2777.60,113.14,11.120383415,55000,56000
e0ca965dae5ac74299be7c3d7b26f003f7163575,2857.66,116.34,11.443609607,55000,55000
e0ca965dae5ac74299be7c3d7b26f003f7163575,2700.25,108.70,10.789069760,56000,56000
e0ca965dae5ac74299be7c3d7b26f003f7163575,2809.64,114.20,11.227133687,55000,56000
e0ca965dae5ac74299be7c3d7b26f003f7163575,2815.78,114.25,11.284594315,56000,55000
